total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,new_cases,new_deaths,%deaths,%cases,clusters
0,0.0,0.0,0.0,9442867,54052,294,0.018193627,2.629879252,0
20944,0.22,0.22,0.0,9442867,38970,258,0.020925848,3.04257171,0
66618,0.71,0.43,0.28,9442867,34501,271,0.023795739,3.407937441,0
328500,3.48,2.58,0.89,9442867,36931,295,0.02691979,3.799036881,0
796834,8.44,5.48,2.96,9442867,35701,309,0.030192102,4.177110617,0
1073282,11.37,7.43,3.94,9442867,22750,292,0.033284383,4.41803321,0
2194993,23.24,14.13,9.11,9442867,28851,311,0.036577874,4.723565417,0
2963378,31.38,17.23,14.15,9442867,35492,326,0.040030215,5.099425842,0
3628321,38.42,21.81,16.61,9442867,56554,363,0.043874387,5.698332932,0
4766181,50.47,29.23,21.25,9442867,62082,488,0.049042309,6.355781565,0
6331049,67.05,38.32,28.72,9442867,54550,450,0.053807811,6.933466287,1
7708200,81.63,46.13,34.19,9442867,44392,497,0.059071043,7.403577748,1
10028295,106.2,55.86,44.84,9442867,43843,474,0.064090705,7.867875297,1
10649534,112.78,58.54,49.06,9442867,176783,428,0.068623226,9.740007987,1
955,0.01,0.01,0.0,11632334,69151,2883,0.167876885,5.557749631,0
344861,2.96,2.73,0.24,11632334,63657,1564,0.181322166,6.104991483,0
877445,7.54,4.6,2.95,11632334,61358,985,0.189789942,6.63246946,0
2004087,17.23,12.34,4.9,11632334,110942,939,0.197862269,7.586207549,0
3985162,34.26,26.75,7.55,11632334,107776,1214,0.208298696,8.5127284,0
6910424,59.41,40.88,19.23,11632334,71772,725,0.214531323,9.129732692,1
11089877,95.34,62.43,35.21,11632334,23130,218,0.216405409,9.328574988,1
14708145,126.44,69.7,59.61,11632334,39584,68,0.216989987,9.66886783,1
16311187,140.22,72.9,70.47,11632334,59949,139,0.218184932,10.18423302,1
16856169,144.91,74.27,72.81,11632334,60290,222,0.220093405,10.70252969,1
17627446,151.54,75.28,74.08,11632334,115696,392,0.223463322,11.69713662,1
18938644,162.81,76.24,75.04,11632334,405385,1021,0.23224058,15.1821208,1
21704563,186.59,76.76,75.82,11632334,339308,1316,0.243553873,18.09905905,1
24189646,207.95,78.7,76.34,11632334,1049896,721,0.249752113,27.12472836,1
25036815,215.23,79.24,78.07,11632334,402075,1127,0.259440625,30.58125738,1
25090382,215.7,79.28,78.16,11632334,250133,568,0.264323566,32.7315825,1
0,0.0,0.0,0.0,404915,385,14,0.077794105,3.035945816,0
22067,5.45,5.45,0.0,404915,163,3,0.078288036,3.076201178,0
42100,10.4,10.4,0.0,404915,212,6,0.079769828,3.128557845,0
75243,18.58,15.82,2.76,404915,141,1,0.080016794,3.163379969,0
106010,26.18,19.76,6.43,404915,442,5,0.081251621,3.272538681,0
183581,45.34,32.69,12.65,404915,912,8,0.083227344,3.497771137,0
237507,58.66,41.39,17.27,404915,2190,25,0.089401479,4.038625391,0
321277,79.34,47.85,31.49,404915,4448,52,0.102243681,5.137127545,1
384446,94.94,55.27,35.69,404915,5997,77,0.121260018,6.618179124,1
407766,100.7,56.29,47.71,404915,3633,87,0.142746008,7.515404468,1
424634,104.87,56.83,49.18,404915,2409,27,0.148673178,8.110344146,1
445691,110.07,57.42,50.19,404915,17647,23,0.154353383,12.46854278,1
458351,113.2,57.88,51.02,404915,6207,25,0.160527518,14.0014571,1
460853,113.81,57.99,51.18,404915,559,4,0.16151538,14.13951076,1
12934,0.1,0.1,0.0,12451031,237,2,0.000811178,0.064717532,0
46108,0.37,0.29,0.08,12451031,141,3,0.000835272,0.065849969,0
57886,0.46,0.35,0.12,12451031,195,4,0.000867398,0.067416104,0
117984,0.95,0.41,0.17,12451031,4972,20,0.001028027,0.10734854,0
174104,1.4,1.23,0.17,12451031,10524,31,0.001277003,0.191871661,0
277614,2.23,1.92,1.67,12451031,859,2,0.001293066,0.198770688,0
827261,6.64,6.22,5.24,12451031,101,0,0.001293066,0.199581866,0
1773592,14.24,13.65,10.6,12451031,85,0,0.001293066,0.20026454,0
2138322,17.17,16.38,13.06,12451031,1515,2,0.001309129,0.212432207,0
2788620,22.4,20.81,16.17,12451031,117,0,0.001309129,0.213371889,0
4897,7.89,7.89,0.0,62092,87,2,0.019326161,1.112864781,0
20705,33.35,22.0,11.35,62092,14,0,0.019326161,1.135411969,0
37788,60.86,36.1,24.76,62092,512,0,0.019326161,1.959994846,0
55904,90.03,51.74,38.29,62092,1176,16,0.045094376,3.853958642,1
71114,114.53,60.48,54.05,62092,101,5,0.053146943,4.016620499,1
80722,130.0,66.35,57.43,62092,20,0,0.053146943,4.048830767,1
82870,133.46,67.44,66.03,62092,39,0,0.053146943,4.111640791,1
84748,136.49,68.97,67.52,62092,370,1,0.054757457,4.707530761,1
86676,139.59,70.63,68.96,62092,2321,38,0.115956967,8.445532436,1
92770,149.41,72.94,70.44,62092,403,29,0.162661857,9.094569349,1
101341,163.21,72.94,70.44,62092,101,5,0.170714424,9.257231205,1
112695,181.5,74.4,72.82,62092,672,4,0.177156477,10.33949623,1
120535,194.12,75.2,73.86,62092,4373,7,0.188430072,17.38227147,1
124342,200.25,75.63,74.28,62092,768,6,0.198093152,18.61914578,1
